type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime;
TRACK;9.- CIUDAD MUNICIPAL VII;-16.32150581;-71.58763234;-1931337.281;2833510.126;False; ; ;0; ; ; ; ; ; ;
TRACK;9.- CIUDAD MUNICIPAL VII;-16.32613257;-71.58754327;-1931881.769;2833460.287;False; ; ;0; ; ; ; ; ; ;
TRACK;10.- CIUDAD MUNICIPAL IV + ASOC MARIANO SANTOS + ASOC SAN PEDRO  SAN PABLO; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
TRACK;10.- CIUDAD MUNICIPAL IV + ASOC MARIANO SANTOS + ASOC SAN PEDRO  SAN PABLO;-16.3311204;-71.58799617;-1932461.876;2833344.293;False; ; ;0; ; ; ; ; ; ;
TRACK;10.- CIUDAD MUNICIPAL IV + ASOC MARIANO SANTOS + ASOC SAN PEDRO  SAN PABLO;-16.32974966;-71.58733959;-1932309.113;2833436.514;False; ; ;0; ; ; ; ; ; ;
TRACK;10.- CIUDAD MUNICIPAL IV + ASOC MARIANO SANTOS + ASOC SAN PEDRO  SAN PABLO;-16.32810489;-71.58728086;-1932116.684;2833464.49;False; ; ;0; ; ; ; ; ; ;
TRACK;10.- CIUDAD MUNICIPAL IV + ASOC MARIANO SANTOS + ASOC SAN PEDRO  SAN PABLO;-16.32643946;-71.58667079;-1931928.727;2833555.254;False; ; ;0; ; ; ; ; ; ;
TRACK;10.- CIUDAD MUNICIPAL IV + ASOC MARIANO SANTOS + ASOC SAN PEDRO  SAN PABLO;-16.32638939;-71.58934211;-1931889.425;2833252.964;False; ; ;0; ; ; ; ; ; ;
TRACK;10.- CIUDAD MUNICIPAL IV + ASOC MARIANO SANTOS + ASOC SAN PEDRO  SAN PABLO;-16.32648919;-71.591256;-1931877.203;2833034.63;False; ; ;0; ; ; ; ; ; ;
TRACK;10.- CIUDAD MUNICIPAL IV + ASOC MARIANO SANTOS + ASOC SAN PEDRO  SAN PABLO;-16.32816046;-71.59229382;-1932060.492;2832895.289;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33643024;-71.58924258;-1933069.86;2833134.127;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33455998;-71.58998581;-1932840.917;2833074.09;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33433029;-71.58941322;-1932821.109;2833141.997;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.3326948;-71.58855116;-1932639.827;2833260.952;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33238025;-71.58846946;-1932603.91;2833274.293;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33205411;-71.58842769;-1932566.131;2833283.257;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33175453;-71.58835652;-1932531.839;2833295.21;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33131988;-71.58815903;-1932483.264;2833323.238;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33095184;-71.58856894;-1932434.913;2833281.525;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33109696;-71.58865254;-1932450.909;2833270.164;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.32934337;-71.59078549;-1932218.281;2833051.009;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.328269;-71.59262797;-1932069.059;2832855.99;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.32758484;-71.5939262;-1931972.474;2832717.633;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.32766688;-71.59419123;-1931978.793;2832686.516;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.32785916;-71.59437821;-1931999.036;2832662.822;False; ; ;0; ; ; ; ; ; ;
TRACK;11.- TRANSOCEANICA + CENTRO DE VIVIENDA LAS CANTERAS;-16.33700175;-71.5907963;-1933117.529;2832950.533;False; ; ;0; ; ; ; ; ; ;
TRACK;12.- URB NUEVA AREQUIPA + VILLA SANJUAN ZONA B + VILLA SANTA ROSA; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
TRACK;12.- URB NUEVA AREQUIPA + VILLA SANJUAN ZONA B + VILLA SANTA ROSA;-16.33878647;-71.58975549;-1933340.151;2833045.419;False; ; ;0; ; ; ; ; ; ;
TRACK;12.- URB NUEVA AREQUIPA + VILLA SANJUAN ZONA B + VILLA SANTA ROSA;-16.33834334;-71.5884905;-1933303.946;2833194.607;False; ; ;0; ; ; ; ; ; ;
TRACK;12.- URB NUEVA AREQUIPA + VILLA SANJUAN ZONA B + VILLA SANTA ROSA;-16.33853879;-71.58840499;-1933327.97;2833201.77;False; ; ;0; ; ; ; ; ; ;
TRACK;12.- URB NUEVA AREQUIPA + VILLA SANJUAN ZONA B + VILLA SANTA ROSA;-16.33866048;-71.58826386;-1933344.028;2833216.195;False; ; ;0; ; ; ; ; ; ;
TRACK;12.- URB NUEVA AREQUIPA + VILLA SANJUAN ZONA B + VILLA SANTA ROSA;-16.33857964;-71.58775909;-1933340.853;2833274.482;False; ; ;0; ; ; ; ; ; ;
TRACK;12.- URB NUEVA AREQUIPA + VILLA SANJUAN ZONA B + VILLA SANTA ROSA;-16.33746162;-71.58804531;-1933205.972;2833256.522;False; ; ;0; ; ; ; ; ; ;
TRACK;12.- URB NUEVA AREQUIPA + VILLA SANJUAN ZONA B + VILLA SANTA ROSA;-16.33639782;-71.58826266;-1933078.319;2833245.667;False; ; ;0; ; ; ; ; ; ;
TRACK;12.- URB NUEVA AREQUIPA + VILLA SANJUAN ZONA B + VILLA SANTA ROSA;-16.33565023;-71.5884485;-1932988.196;2833234.284;False; ; ;0; ; ; ; ; ; ;
