cluster;n_microred;microred;name;lat;long;y_proj;x_proj;;;
3;7;VICTOR RAUL HINOJOSA;P.S. LAS ESMERALDAS;-16.45001045;-71.51246176;-1947376.484;2840358.974;;;
3;7;VICTOR RAUL HINOJOSA;P.S. 13 DE ENERO;-16.43282886;-71.53057834;-1945129.313;2838530.202;;;
3;7;VICTOR RAUL HINOJOSA;P.S. CERRO JULY;-16.42566197;-71.54237951;-1944138.61;2837286.094;;;
2;6;JAVIER LLOSA GARCIA;C.S. HUNTER;-16.44551634;-71.55481684;-1946313.639;2835616.876;;;
2;6;JAVIER LLOSA GARCIA;P.S. CAMINOS DEL INCA;-16.43436782;-71.56364111;-1944893.087;2834762.384;;;
2;6;JAVIER LLOSA GARCIA;P.S. DANIEL ALCIDES CARRION;-16.44868179;-71.55074825;-1946736.738;2836036.614;;;
2;6;JAVIER LLOSA GARCIA;P.S. ALTO ALIANZA;-16.45535679;-71.55270229;-1947496.021;2835727.856;;;
2;6;JAVIER LLOSA GARCIA;P.S. AMP. PAMPAS DEL CUSCO;-16.45045819;-71.55760397;-1946858.864;2835236.397;;;
2;6;JAVIER LLOSA GARCIA;P.S. UPIS PAISAJISTA;-16.46147909;-71.55538611;-1948181.16;2835343.616;;;
2;6;JAVIER LLOSA GARCIA;P.S. CHILPINILLA;-16.44018857;-71.55233598;-1945719.211;2835967.69;;;
29;8;TIABAYA;C.S. TIABAYA;-16.45095836;-71.58912877;-1946520.256;2831657.42;;;
29;8;TIABAYA;C.S. CERRO VERDE;-16.45096363;-71.61466409;-1946199.542;2828764.113;;;
29;8;TIABAYA;P.S. CONGATA;-16.44481245;-71.61980304;-1945412.78;2828262.019;;;
29;8;TIABAYA;P.S. UCHUMAYO;-16.42529005;-71.67306549;-1942453.158;2822481.784;;;
10;9;YANAHUARA;C.S. YANAHUARA;-16.38596539;-71.54055922;-1939498.817;2838010.555;;;
15;9;YANAHUARA;P.S. SACHACA;-16.42508852;-71.56637015;-1943768.953;2834574.176;;;
15;9;YANAHUARA;P.S. PAMPA DE CAMARONES;-16.41136519;-71.5720699;-1942085.569;2834107.069;;;
17;16;AMPLIACION PAUCARPATA;C.S. MANUEL PRADO;-16.41561575;-71.51267683;-1943333.285;2840784.921;;;
17;16;AMPLIACION PAUCARPATA;C.S AMPLIACION PAUCARPATA;-16.42710899;-71.50320423;-1944803.154;2841708.555;;;
17;16;AMPLIACION PAUCARPATA;C.S. CAMPO MARTE;-16.42726573;-71.49678341;-1944902.735;2842434.535;;;
17;16;AMPLIACION PAUCARPATA;C.S. NUEVA ALBORADA;-16.43390476;-71.49133356;-1945751.662;2842965.474;;;
18;15;CIUDAD BLANCA;C.S. CIUDAD BLANCA;-16.41742761;-71.49123104;-1943817.07;2843193.007;;;
18;15;CIUDAD BLANCA;C.S. SAN JUAN;-16.41440058;-71.48220011;-1943575.594;2844256.796;;;
18;15;CIUDAD BLANCA;P.S. ISRAEL;-16.41890491;-71.48486444;-1944071.141;2843895.631;;;
18;15;CIUDAD BLANCA;P.S. VILLA JESUS;-16.41926201;-71.47476718;-1944240.835;2845036.032;;;
18;15;CIUDAD BLANCA;P.S. ALTO JESUS;-16.42264222;-71.49438504;-1944389.858;2842767.054;;;
16;14;15 DE AGOSTO;C.S. 15 DE AGOSTO;-16.4129408;-71.50020681;-1943176.502;2842233.916;;;
16;14;15 DE AGOSTO;P.S. MODULO A;-16.40833812;-71.49422076;-1942711.361;2842972.974;;;
16;14;15 DE AGOSTO;P.S. MODULO B;-16.40941865;-71.48512073;-1942953.309;2843990.832;;;
16;14;15 DE AGOSTO;P.S. MODULO C-D;-16.40785165;-71.48030054;-1942830.124;2844558.018;;;
14;12;MARIANO MELGAR;C.S. MARIANO MELGAR;-16.40247896;-71.51201345;-1941798.374;2841031.909;;;
