cluster,name_point,code_point,lat,long,y_proj,x_proj,,,,,,,,
4,Mercado Virgen De Copabana,CL04_PP_108,-16.30823878,-71.53271797,-1930466.64,2839911173,,,,,,,,
4,Complejo Deportivo 1Ro De Junio Zn B,CL04_PP_109,-16.32409561,-71.53906972,-1932249793,2838984654,,,,,,,,
4,Parque (Sector Vii Enace),CL04_PP_110,-16.32912667,-71.54333569,-1932787285,2838435385,,,,,,,,
4,Parque (Urb. Los Alamos Dean Valdivia),CL04_PP_111,-16.33591046,-71.54983965,-1933502568,2837609528,,,,,,,,
4,Parque (Estrella 1),CL04_PP_112,-16.33594009,-71.5529147,-1933467475,2837260368,,,,,,,,
4,Losa Deportiva Estrella 1,CL04_PP_113,-16.33944877,-71.55501426,-1933853276,2836976661,,,,,,,,
4,Parque (Av. Sol De Oro),CL04_PP_114,-16.33964516,-71.55400142,-1933889048,2837088982,,,,,,,,
4,Cuna Jardin Happy Childrens,CL04_PP_115,-16.33373183,-71.54929003,-1933253.55,2837700172,,,,,,,,
4,Parque (Av. Sol De Oro Y Estrella 1),CL04_PP_116,-16.34024466,-71.55482873,-1933949089,2836987363,,,,,,,,
4,Iglesia Adventista Del Septimo Dia Villa Continental,CL04_PP_117,-16.34391343,-71.55493211,-1934378727,2836927.97,,,,,,,,
4,Comedor Popular San Lorenzo 2,CL04_PP_118,-16.34462562,-71.54913061,-1934535184,2837576689,,,,,,,,
4,Cancha (Casimiro Cuadros I),CL04_PP_119,-16.34655012,-71.55215,-1934723346,2837209.23,,,,,,,,
4,Estadio Buenos Aires,CL04_PP_120,-16.35028451,-71.55332131,-1935147289,2837027846,,,,,,,,
4,Parque Sanchez Trujillo,CL04_PP_121,-16.34594294,-71.54744955,-1934711024,2837750222,,,,,,,,
4,Capilla Upis Dean Valdivia,CL04_PP_122,-16.34898525,-71.5456906,-1935090472,2837910155,,,,,,,,
4,Parque Las Malvinas,CL04_PP_123,-16.34660731,-71.5466334,-1934799309,2837834149,,,,,,,,
4,Parque Argentina,CL04_PP_124,-16.34583102,-71.5459837,-1934716279,2837917929,,,,,,,,
