UNICODE;P;D;L;V;lat;long;y_proj;x_proj
6.92.69.7213;6;92;69;7213;-16.3548698;-72.22590026;-1927402.554;2760837.211
6.92.69.7214;6;92;69;7214;-16.35495038;-72.22606399;-1927410.006;2760817.704
6.92.69.7215;6;92;69;7215;-16.3550471;-72.22624941;-1927419.084;2760795.545
6.92.69.7216;6;92;69;7216;-16.35422393;-72.22690598;-1927314.828;2760731.662
6.92.69.7217;6;92;69;7217;-16.35377593;-72.22716869;-1927259.23;2760707.584
6.92.69.7218;6;92;69;7218;-16.35368814;-72.22699168;-1927251.094;2760728.681
6.92.69.7219;6;92;69;7219;-16.35360139;-72.22682581;-1927242.945;2760748.506
6.92.69.7220;6;92;69;7220;-16.35352037;-72.22665304;-1927235.551;2760769.039
6.92.69.7221;6;92;69;7221;-16.35343304;-72.22647986;-1927227.423;2760789.699
6.92.69.7222;6;92;69;7222;-16.3533393;-72.22632472;-1927218.328;2760808.399
6.92.69.7223;6;92;69;7223;-16.35324827;-72.22616275;-1927209.631;2760827.838
6.92.69.7224;6;92;69;7224;-16.35315997;-72.22599394;-1927201.337;2760848.015
6.92.69.7225;6;92;69;7225;-16.35308974;-72.22583984;-1927194.98;2760866.304
6.92.69.7226;6;92;69;7226;-16.3529978;-72.22566684;-1927186.31;2760887
6.92.69.7227;6;92;69;7227;-16.35276608;-72.22539492;-1927162.477;2760920.622
6.92.69.7228;6;92;69;7228;-16.3529115;-72.2252944;-1927180.709;2760930.159
6.92.69.7229;6;92;69;7229;-16.35305605;-72.22521289;-1927198.609;2760937.561
6.92.69.7230;6;92;69;7230;-16.35323259;-72.22511015;-1927220.508;2760946.96
6.92.69.7231;6;92;69;7231;-16.35340195;-72.22501122;-1927241.523;2760956.019
6.92.69.7232;6;92;69;7232;-16.3534635;-72.22538832;-1927244.17;2760912.644
6.92.69.7233;6;92;69;7233;-16.3535546;-72.22555113;-1927252.864;2760893.109
6.92.69.7234;6;92;69;7234;-16.35363361;-72.22573178;-1927259.929;2760871.71
6.92.69.7235;6;92;69;7235;-16.3537153;-72.22590573;-1927267.388;2760851.035
6.92.69.7236;6;92;69;7236;-16.35382004;-72.22605426;-1927277.85;2760832.944
6.92.69.7237;6;92;69;7237;-16.35388372;-72.22621849;-1927283.319;2760813.591
6.92.69.7238;6;92;69;7238;-16.35397659;-72.22639744;-1927292.025;2760792.211
6.92.69.7239;6;92;69;7239;-16.35403636;-72.22657034;-1927296.932;2760771.929
6.92.69.7240;6;92;69;7240;-16.35413454;-72.22673725;-1927306.405;2760751.843
6.92.69.7241;6;92;69;7241;-16.35540406;-72.22444425;-1927482.66;2760995.031
6.92.69.7242;6;92;69;7242;-16.35525836;-72.2245527;-1927464.301;2760984.6
6.92.69.7243;6;92;69;7243;-16.35513224;-72.22464534;-1927448.423;2760975.712
6.92.69.7244;6;92;69;7244;-16.35495833;-72.22474469;-1927426.871;2760966.662
6.92.69.7245;6;92;69;7245;-16.35481485;-72.22482145;-1927409.154;2760959.785
6.92.69.7246;6;92;69;7246;-16.35463365;-72.22454513;-1927391.287;2760993.272
6.92.69.7247;6;92;69;7247;-16.35459911;-72.22445278;-1927388.36;2761004.138
6.92.69.7248;6;92;69;7248;-16.35455971;-72.22436977;-1927384.752;2761014.009
6.92.69.7249;6;92;69;7249;-16.35450732;-72.22426168;-1927379.928;2761026.877
6.92.69.7250;6;92;69;7250;-16.35470368;-72.2242281;-1927403.311;2761028.215
6.92.69.7251;6;92;69;7251;-16.35484551;-72.22413617;-1927421.019;2761036.826
6.92.69.7252;6;92;69;7252;-16.35499609;-72.22404466;-1927439.745;2761045.281
6.92.69.7253;6;92;69;7253;-16.35514109;-72.22395428;-1927457.806;2761053.679
6.92.69.7254;6;92;69;7254;-16.35652868;-72.22385873;-1927621.338;2761047.113
6.92.69.7255;6;92;69;7255;-16.35638962;-72.22395457;-1927603.907;2761038.025
6.92.69.7256;6;92;69;7256;-16.35622922;-72.22403949;-1927584.111;2761030.437
6.92.69.7257;6;92;69;7257;-16.35605917;-72.22414104;-1927562.985;2761021.091
6.92.69.7258;6;92;69;7258;-16.35588486;-72.22423747;-1927541.422;2761012.378
6.92.69.7259;6;92;69;7259;-16.35576422;-72.22431329;-1927526.388;2761005.321
6.92.69.7260;6;92;69;7260;-16.35546355;-72.2238033;-1927497.364;2761066.703
6.92.69.7261;6;92;69;7261;-16.35562101;-72.22371832;-1927516.817;2761074.334
6.92.69.7262;6;92;69;7262;-16.35578031;-72.22362385;-1927536.599;2761083.014
6.92.69.7263;6;92;69;7263;-16.35594763;-72.22354595;-1927557.121;2761089.721
6.92.69.7264;6;92;69;7264;-16.35610792;-72.22346086;-1927576.906;2761097.33
6.92.69.7265;6;92;69;7265;-16.35625321;-72.22336861;-1927595.023;2761105.935
6.92.69.7266;6;92;69;7266;-16.35716226;-72.22350345;-1927699.772;2761079.325
6.92.69.7267;6;92;69;7267;-16.35701119;-72.22360101;-1927680.915;2761070.193
6.92.69.7268;6;92;69;7268;-16.35683358;-72.22371341;-1927658.774;2761059.716
6.92.69.7269;6;92;69;7269;-16.35654872;-72.22320282;-1927631.607;2761120.968
6.92.69.7270;6;92;69;7270;-16.3567406;-72.22309469;-1927655.367;2761130.784
6.92.69.7271;6;92;69;7271;-16.35683321;-72.22243522;-1927674.173;2761204.135
6.92.69.7272;6;92;69;7272;-16.35666339;-72.22253021;-1927653.152;2761195.527
6.92.69.7273;6;92;69;7273;-16.35651199;-72.22262543;-1927634.285;2761186.663
