ident;lat;long;y_proj;x_proj;new_seg
1.11.20-3;-16.37979943;-71.51233028;-1939129.968;2841292.215;False
1.11.20-3;-16.37998677;-71.51208629;-1939155.052;2841317.441;False
1.11.20-3;-16.3794581;-71.51162495;-1939098.755;2841376.664;False
1.11.20-3;-16.37892893;-71.51225422;-1939028.657;2841312.203;False
1.11.20-4; ; ;-1.516416327;20763369.87; 
1.11.20-4;-16.37994439;-71.51256421;-1939144.049;2841263.791;False
1.11.20-4;-16.38030645;-71.51280116;-1939183.6;2841232.192;False
1.11.20-4;-16.38047836;-71.51256893;-1939206.723;2841256.286;False
1.11.20-4;-16.38017489;-71.51224898;-1939175.102;2841296.534;False
1.11.20-4;-16.38001015;-71.51212368;-1939157.327;2841312.895;False
1.11.20-4;-16.37978216;-71.51241572;-1939126.862;2841282.75;False
1.11.20-5; ; ;-1.516416327;20763369.87; 
1.11.20-5;-16.38011498;-71.51318892;-1939156.219;2841190.714;False
1.11.20-5;-16.38026158;-71.51298717;-1939175.984;2841211.682;False
1.11.20-5;-16.38037612;-71.51306178;-1939188.5;2841201.725;False
1.11.20-5;-16.38075283;-71.51247881;-1939240.103;2841262.923;False
1.11.20-5;-16.38069429;-71.51243426;-1939233.788;2841268.74;False
1.11.20-5;-16.38057188;-71.51250098;-1939218.566;2841262.771;False
1.11.20-5;-16.38058672;-71.51252459;-1939220.012;2841259.9;False
1.11.20-5;-16.38048193;-71.51260497;-1939206.687;2841252.152;False
1.11.20-5;-16.38031652;-71.51282856;-1939184.438;2841228.953;False
1.11.20-5;-16.38030133;-71.5128363;-1939182.556;2841228.273;False
1.11.20-5;-16.38027173;-71.51281995;-1939179.283;2841230.514;False
1.11.20-5;-16.3802474;-71.51278939;-1939176.811;2841234.297;False
1.11.20-5;-16.38000446;-71.51264974;-1939150.029;2841253.307;False
1.11.20-5;-16.37981669;-71.5129988;-1939123.571;2841216.169;False
1.11.20-6; ; ;-1.516416327;20763369.87; 
1.11.20-6;-16.37996736;-71.51263332;-1939145.878;2841255.653;False
1.11.20-6;-16.37965469;-71.51243515;-1939111.641;2841282.21;False
1.11.20-6;-16.37947371;-71.51280754;-1939085.687;2841242.338;False
1.11.20-6;-16.379775;-71.51298137;-1939118.893;2841218.691;False
1.11.20-7; ; ;-1.516416327;20763369.87; 
1.11.20-7;-16.37941923;-71.51278287;-1939079.598;2841245.847;False
1.11.20-7;-16.379682;-71.51231321;-1939116.386;2841295.683;False
1.11.20-7;-16.37937998;-71.51210438;-1939083.536;2841323.309;False
1.11.20-7;-16.37936072;-71.51210889;-1939081.216;2841323.05;False
1.11.20-7;-16.37911911;-71.5126116;-1939046.497;2841269.189;False
1.11.20-8; ; ;-1.516416327;20763369.87; 
1.11.20-8;-16.37914646;-71.51248696;-1939051.28;2841282.968;False
1.11.20-8;-16.37890074;-71.51227508;-1939025.082;2841310.205;False
1.11.20-8;-16.37879388;-71.51240105;-1939010.94;2841297.313;False
1.11.20-8;-16.37905145;-71.51260812;-1939038.592;2841270.467;False
