"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.8.14.67F",1,8,"14","67F",-16.4335073341748,-71.5172202523873,-1945377.6979506,2840035.68271345
"1.8.14.67G",1,8,"14","67G",-16.4335766990692,-71.5172615572149,-1945385.32448727,2840030.09197382
"1.8.14.67H",1,8,"14","67H",-16.4335828783701,-71.5170877600161,-1945388.24599264,2840049.71455353
"1.8.14.75A",1,8,"14","75A",-16.4334439708439,-71.5165506490901,-1945378.7139343,2840112.42556692
"1.8.14.75B",1,8,"14","75B",-16.4333721651267,-71.5165842800461,-1945369.85395068,2840109.55276511
"1.8.14.75C",1,8,"14","75C",-16.4332645279844,-71.5166221200901,-1945356.7316342,2840106.67181415
"1.8.14.75D",1,8,"14","75D",-16.433170682718,-71.5166779857702,-1945345.00174712,2840101.56672436
"1.8.14.75E",1,8,"14","75E",-16.433212515649,-71.516773964485,-1945348.7033835,2840090.13791622
"1.8.14.75F",1,8,"14","75F",-16.4332891202264,-71.5167561587294,-1945357.92715428,2840091.15380042
"1.8.14.75G",1,8,"14","75G",-16.433346550535,-71.5167481651728,-1945364.77454215,2840091.30825794
"1.8.14.75H",1,8,"14","75H",-16.4334178208577,-71.5167339682143,-1945373.32610217,2840091.98482642
"1.8.14.75I",1,8,"14","75I",-16.4334803392451,-71.5167179097113,-1945380.87308108,2840092.9870012
"1.8.14.75J",1,8,"14","75J",-16.4335546804487,-71.5166933521068,-1945389.91627405,2840094.79795488
"1.8.14.95A",1,8,"14","95A",-16.4328775327833,-71.5149284714965,-1945332.66797458,2840303.74977955
"1.8.14.127A",1,8,"14","127A",-16.4315051598361,-71.5123745258253,-1945203.71938784,2840611.26694122
"1.8.14.127B",1,8,"14","127B",-16.4315606588581,-71.5123088424223,-1945211.06903027,2840617.98719661
"1.8.14.127C",1,8,"14","127C",-16.4316223497935,-71.5122539894094,-1945219.00922438,2840623.39848391
"1.8.14.127D",1,8,"14","127D",-16.4317040841048,-71.5121671282616,-1945229.70844897,2840632.17627231
"1.8.14.127E",1,8,"14","127E",-16.4317870063431,-71.5120887771235,-1945240.43970861,2840639.973674
"1.8.14.127F",1,8,"14","127F",-16.4318519854,-71.5120268912502,-1945248.85506245,2840646.13923958
"1.8.14.127G",1,8,"14","127G",-16.4319477334414,-71.5119638547717,-1945260.89953429,2840652.03239584
"1.8.14A.21A",1,8,"14A","21A",-16.4313913799888,-71.5132213200076,-1945179.65400614,2840516.75136169
"1.8.14A.23A",1,8,"14A","23A",-16.4312167848286,-71.5134125691075,-1945156.72732957,2840497.35424866
"1.8.14A.17A",1,8,"14A","17A",-16.4309514781463,-71.5132907297088,-1945127.10011971,2840514.64092769
"1.8.14A.18A",1,8,"14A","18A",-16.431069858971,-71.5132038979492,-1945142.10382855,2840522.93572698
"1.8.14A.31A",1,8,"14A","31A",-16.4311802218408,-71.5140086483296,-1945144.90120684,2840430.25273732
"1.8.14A.45A",1,8,"14A","45A",-16.4318333276507,-71.5148777965884,-1945210.64281654,2840323.16456361
"1.8.14A.47A",1,8,"14A","47A",-16.4318098170018,-71.5150770494346,-1945205.36367405,2840300.88240127
"1.8.14A.48A",1,8,"14A","48A",-16.4316802482906,-71.5152000647845,-1945188.58881125,2840288.63185964
"1.8.14A.49A",1,8,"14A","49A",-16.4315473184907,-71.5152125731904,-1945172.81520357,2840288.95381321
"1.8.14A.49B",1,8,"14A","49B",-16.431520871828,-71.515151466123,-1945170.4804329,2840296.22791034
"1.8.14A.49C",1,8,"14A","49C",-16.4315028538658,-71.5150912971578,-1945169.12395191,2840303.285323
"1.8.14A.49D",1,8,"14A","49D",-16.4314801940702,-71.5150344655873,-1945167.1800215,2840310.02513003
"1.8.14A.49E",1,8,"14A","49E",-16.4314604409842,-71.5149754013293,-1945165.60575673,2840316.98001871
"1.8.14A.49F",1,8,"14A","49F",-16.4314332797749,-71.5149031627907,-1945163.32767733,2840325.52549957
"1.8.14A.49G",1,8,"14A","49G",-16.4314161300951,-71.514845533184,-1945162.04111895,2840332.28366569
"1.8.14A.49H",1,8,"14A","49H",-16.431393848646,-71.5147956159817,-1945160.05428415,2840338.23462845
"1.8.14A.49I",1,8,"14A","49I",-16.4313702210345,-71.5147661148759,-1945157.6513856,2840341.88856829
"1.8.14A.49J",1,8,"14A","49J",-16.4313517675053,-71.514685077536,-1945156.50738402,2840351.31763241
"1.8.14A.49K",1,8,"14A","49K",-16.4313227429838,-71.5146484148942,-1945153.56097032,2840355.85415411
"1.8.14A.49L",1,8,"14A","49L",-16.431288678354,-71.5145455688379,-1945150.85861249,2840367.96012154
"1.8.14A.49M",1,8,"14A","49M",-16.4312570083879,-71.5144700454284,-1945148.09238147,2840376.93707699
"1.8.14A.49N",1,8,"14A","49N",-16.4312249504124,-71.5143865805997,-1945145.38089973,2840386.81946857
"1.8.14A.63A",1,8,"14A","63A",-16.4321951944622,-71.5157264146636,-1945242.43110113,2840222.21735999
"1.8.14A.68A",1,8,"14A","68A",-16.4321922890891,-71.5159505230072,-1945239.25858269,2840196.84770285
"1.8.14A.85A",1,8,"14A","85A",-16.4326079560261,-71.5166450039606,-1945279.31420514,2840112.67202598
"1.8.14A.88A",1,8,"14A","88A",-16.4324285458876,-71.5163510818527,-1945261.95176053,2840148.34292584
"1.8.14A.97A",1,8,"14A","97A",-16.4328911029139,-71.5166675152517,-1945312.29144404,2840106.41351594
