"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.18.28.68F",1,18,"28","68F",-16.4304322609903,-71.5662764746696,-1944397.69724206,2834515.06290341
"1.18.28.68G",1,18,"28","68G",-16.4303849565842,-71.5661926639867,-1944393.19753823,2834525.17950509
"1.18.28.68H",1,18,"28","68H",-16.4308916328341,-71.5659887672937,-1944455.26929937,2834541.67653419
"1.18.28.83A",1,18,"28","83A",-16.4324938161747,-71.5683166008711,-1944614.10492703,2834256.92926269
"1.18.28.83B",1,18,"28","83B",-16.4325988258874,-71.5683871737597,-1944625.54803571,2834247.56012966
"1.18.28.83C",1,18,"28","83C",-16.4326670911878,-71.5684352878396,-1944632.95887151,2834241.21600829
"1.18.28.83D",1,18,"28","83D",-16.4327298839976,-71.5684725299373,-1944639.86397264,2834236.17552435
"1.18.28.91A",1,18,"28","91A",-16.4336938739305,-71.5691734214502,-1944744.24334322,2834144.15667524
"1.18.28.112A",1,18,"28","112A",-16.4378395315567,-71.5705646583975,-1945213.56556936,2833932.36920758
"1.18.28.115A",1,18,"28","115A",-16.4382749234838,-71.5708675470944,-1945260.87993147,2833892.35850638
"1.18.28.118A",1,18,"28","118A",-16.4386790577811,-71.5713516960242,-1945302.23997606,2833832.21335687
"1.18.28.118B",1,18,"28","118B",-16.4384723258449,-71.5715992249607,-1945274.84437783,2833806.85898728
"1.18.28.118C",1,18,"28","118C",-16.4385778662725,-71.5712323508069,-1945291.86011355,2833847.05991638
"1.18.28.118D",1,18,"28","118D",-16.4386994811436,-71.571089301326,-1945307.9439592,2833861.68448562
"1.18.28.119A",1,18,"28","119A",-16.4390498852955,-71.5712590971899,-1945346.95429388,2833837.86703319
"1.18.28.122A",1,18,"28","122A",-16.4394064780132,-71.5714895313655,-1945385.92737336,2833807.09658577
"1.18.29.10A",1,18,"29","10A",-16.416086950407,-71.552144255742,-1942890.93031245,2836304.18877783
"1.18.29.10B",1,18,"29","10B",-16.4152953908542,-71.5527653719859,-1942790.13788245,2836244.10846261
"1.18.29.10C",1,18,"29","10C",-16.415779129602,-71.5519399070753,-1942857.35068011,2836331.37132913
"1.18.29.15A",1,18,"29","15A",-16.4129418178702,-71.5538977508936,-1942499.449418,2836146.45065937
"1.18.29.16A",1,18,"29","16A",-16.4127110794425,-71.5538880155347,-1942472.47184741,2836150.56476087
"1.18.29.25A",1,18,"29","25A",-16.4121601466956,-71.5533255552691,-1942414.84786306,2836221.51491978
"1.18.29.27A",1,18,"29","27A",-16.4122521763406,-71.5532149131337,-1942427.05009454,2836232.85694765
"1.18.29.27B",1,18,"29","27B",-16.4123259527256,-71.5532639603251,-1942435.09749062,2836226.33422368
"1.18.29.27C",1,18,"29","27C",-16.4123855830617,-71.5533003099063,-1942441.64332992,2836221.43550989
"1.18.29.27D",1,18,"29","27D",-16.4124447902489,-71.5533566478458,-1942447.88775051,2836214.27637777
"1.18.29.27E",1,18,"29","27E",-16.4125080238986,-71.5534131732781,-1942454.60271574,2836207.04346095
"1.18.29.27F",1,18,"29","27F",-16.4125393151089,-71.5534662426882,-1942457.60955859,2836200.61909426
"1.18.29.27G",1,18,"29","27G",-16.4125966102476,-71.5535191271118,-1942463.67289275,2836193.8764222
"1.18.29.27H",1,18,"29","27H",-16.4118412729137,-71.5532868784767,-1942377.88310804,2836230.05978467
"1.18.29.29A",1,18,"29","29A",-16.4120042744707,-71.5534470343611,-1942395.01086267,2836209.77731226
"1.18.29.30A",1,18,"29","30A",-16.4121126835273,-71.5535544258945,-1942406.39115673,2836196.18866595
"1.18.29.46A",1,18,"29","46A",-16.4112716788767,-71.5525263257992,-1942320.56152753,2836323.71049768
"1.18.29.46B",1,18,"29","46B",-16.4111152684079,-71.5525668520684,-1942301.68063328,2836321.15693295
"1.18.29.46C",1,18,"29","46C",-16.4112402279273,-71.5526151439048,-1942315.74910315,2836314.05202515
"1.18.29.46D",1,18,"29","46D",-16.4113044461889,-71.5526730375692,-1942322.56254013,2836306.65109869
"1.18.29.46E",1,18,"29","46E",-16.4113133901899,-71.552802264117,-1942321.98568564,2836291.88473634
"1.18.29.46F",1,18,"29","46F",-16.4112574424145,-71.5529116677018,-1942314.03688683,2836280.21222379
"1.18.29.46G",1,18,"29","46G",-16.4110926012946,-71.5529492543064,-1942294.2028764,2836278.1018659
"1.18.29.48A",1,18,"29","48A",-16.411816777616,-71.5526438913649,-1942383.1032975,2836303.27078877
"1.18.29.48B",1,18,"29","48B",-16.4116058111996,-71.552513639761,-1942359.9654173,2836320.78917719
"1.18.29.48C",1,18,"29","48C",-16.411514313267,-71.5524078576893,-1942350.55104278,2836333.97487872
"1.18.29.49A",1,18,"29","49A",-16.4114919334114,-71.5522740993137,-1942349.60696496,2836349.43030859
"1.18.29.54A",1,18,"29","54A",-16.4117489099443,-71.5519711689777,-1942383.60410436,2836380.41891464
"1.18.29.61A",1,18,"29","61A",-16.4122295429814,-71.5528209553322,-1942429.35302383,2836277.8126417
"1.18.29.73A",1,18,"29","73A",-16.4115988470937,-71.5497075860114,-1942394.48758615,2836638.98854875
"1.18.29.83A",1,18,"29","83A",-16.4102304471988,-71.5509317013939,-1942218.34877204,2836518.07074148
"1.18.29.83B",1,18,"29","83B",-16.4101952343486,-71.5510130250854,-1942213.18880579,2836509.31081779
"1.18.29.83C",1,18,"29","83C",-16.4101323530761,-71.5511520628359,-1942204.05232773,2836494.36906727
"1.18.29.83D",1,18,"29","83D",-16.4100769325122,-71.5512648633051,-1942196.12255789,2836482.30439164
"1.18.29.83E",1,18,"29","83E",-16.4100301236047,-71.5513507483058,-1942189.54320693,2836473.17865839
"1.18.29.83F",1,18,"29","83F",-16.4099724236805,-71.5514149410663,-1942181.95786538,2836466.6541798
"1.18.29.83G",1,18,"29","83G",-16.4099400589354,-71.5514725208296,-1942177.43147031,2836460.5488436
"1.18.29.83H",1,18,"29","83H",-16.4099234021466,-71.5515107409535,-1942174.99379995,2836456.433295
"1.18.29.83I",1,18,"29","83I",-16.4099043658912,-71.5515549174154,-1942172.20165194,2836451.67354378
"1.18.29.83J",1,18,"29","83J",-16.4098848536018,-71.5515995903264,-1942169.34734371,2836446.86372245
"1.18.29.83K",1,18,"29","83K",-16.4098620078826,-71.5516402933966,-1942166.15151201,2836442.54743578
"1.18.29.83L",1,18,"29","83L",-16.4098467788489,-71.5516755352528,-1942163.91904646,2836438.75089309
"1.18.29.83M",1,18,"29","83M",-16.4098190138728,-71.5517242635011,-1942160.0443861,2836433.58900192
